epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,epoch_time_sec
1,0.13633402218580246,0.95019,0.9555933369765418,0.94426,0.9498928646875975,0.989508743,0.09082237837314605,0.96775,0.9464541376348191,0.9916,0.9685012452996045,0.99742209,260.94513034820557
2,0.06042074517250061,0.97914,0.9799463098004648,0.9783,0.9791224628688098,0.9975753084,0.06326706095337868,0.9769,0.9651775263363246,0.9895,0.9771874382777009,0.998106075,256.709495306015
3,0.038568356232643125,0.98684,0.9873273273273273,0.98634,0.9868334167083542,0.9989740060000001,0.060544661074876785,0.9771,0.9653726102223956,0.9897,0.977384949634604,0.9984023750000001,256.7972605228424
4,0.026834643034934998,0.99075,0.9912117390346926,0.99028,0.9907456504557142,0.9995083126000001,0.05804315423965454,0.98115,0.9914206924726789,0.9707,0.9809509372947299,0.9983621100000001,256.78181409835815
5,0.01914662250161171,0.99359,0.9936591122757186,0.99352,0.9935895512685888,0.9997002116,0.04607441670894623,0.98465,0.9872323313561878,0.982,0.9846092144182083,0.9987610200000001,263.8380470275879
6,0.01627796419978142,0.99419,0.9942789702146386,0.9941,0.9941894770529348,0.9998239756,0.04366459096670151,0.986,0.9877559213167403,0.9842,0.9859747545582047,0.9988667600000001,254.71076941490173
7,0.012998825139999389,0.9956,0.9956396511720937,0.99556,0.9955998239929598,0.9998780642,0.04682846719622612,0.98585,0.985704288713386,0.986,0.9858521221816727,0.99876126,255.01572251319885
8,0.011218485174179078,0.99626,0.9962997039763181,0.99622,0.9962598503940158,0.9999027923999999,0.050921124213933945,0.98565,0.9848257961465509,0.9865,0.9856621871409302,0.998678705,257.12791633605957
9,0.01047137959241867,0.9965,0.9964404271487421,0.99656,0.9965002099874007,0.9999105512,0.04798600727915764,0.9858,0.9816577434067023,0.9901,0.9858607985661655,0.998828135,254.79850554466248
10,0.00876348764538765,0.99698,0.9970197615809264,0.99694,0.9969798791951678,0.9999348198,0.08084074136018753,0.9793,0.9946336429308565,0.9638,0.9789740985271711,0.9981867899999999,256.2164716720581
11,0.007492577202320099,0.99747,0.9975396555517773,0.9974,0.9974698228876021,0.9999556740000001,0.05923563916683197,0.985,0.9860693525756664,0.9839,0.984983481830013,0.9981535899999999,254.8361780643463
12,0.007468933622837066,0.99759,0.997580048399032,0.9976,0.997590024099759,0.9999570546,0.05134047139286995,0.9858,0.9873595505617978,0.9842,0.9857772435897436,0.9988621100000001,255.21447682380676
13,0.007379367705583572,0.99735,0.9975191565132145,0.99718,0.9973495494234019,0.9999633273999999,0.050335001963377,0.9862,0.9841665006970723,0.9883,0.9862289192695339,0.9987377050000001,257.2750005722046
14,0.006177259297370911,0.99799,0.9980796543377808,0.9979,0.9979898190837175,0.9999710342,0.05307073850631714,0.98505,0.985778668002003,0.9843,0.9850387790843133,0.99841537,255.6658501625061
15,0.0070094053733348845,0.99756,0.9976993558196295,0.99742,0.9975596583521693,0.9999590217999998,0.04539022648334503,0.9871,0.9877828960544762,0.9864,0.9870909636745722,0.9987586700000001,257.54341530799866
16,0.005837099556922912,0.99798,0.9979202495700515,0.99804,0.9979801211927284,0.9999643944000001,0.052803595489263534,0.98645,0.9829246500546014,0.9901,0.9864992776366263,0.9987949900000002,258.8163974285126
17,0.006087323186397552,0.99801,0.9980598059805981,0.99796,0.9980099004950248,0.9999499338000002,0.050575489270687106,0.98695,0.9919183755934943,0.9819,0.9868837630031659,0.998981275,255.16848993301392
18,0.005650490756034851,0.9981,0.998060155187585,0.99814,0.9981000759969602,0.9999763530000001,0.04780073094367981,0.9866,0.9821640903686087,0.9912,0.9866613577543301,0.9988279500000001,256.99598503112793
19,0.005714525821208954,0.99811,0.9980801151930884,0.99814,0.998110056698299,0.9999622260000001,0.04516444701552391,0.9871,0.9921196201252779,0.982,0.9870338727510303,0.99902093,255.01383900642395
20,0.004226445466279984,0.99867,0.9986400815951043,0.9987,0.998670039898803,0.9999869874,0.0579979584813118,0.9858,0.992298338062424,0.9792,0.9857056573384336,0.99884431,255.11849689483643
