epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,epoch_time_sec
1,0.4895768374300003,0.87567,0.87944165000101,0.8707,0.8750489934976835,0.9463493458000001,0.23498673648834228,0.93325,0.9284937197112056,0.9388,0.9336184177813137,0.9815696999999999,184.90287065505981
2,0.1793229885315895,0.94477,0.9449212732328992,0.9446,0.9447606093035816,0.9871632645999999,0.1634964193582535,0.9519,0.9546277665995976,0.9489,0.9517552657973922,0.989617605,179.14252400398254
3,0.11083189059138299,0.96315,0.963752878742365,0.9625,0.9631260319207485,0.9938870592,0.13354566433429718,0.9581,0.9579168332666933,0.9583,0.9581083783243352,0.9922788849999999,179.39185094833374
4,0.07745644883871078,0.97312,0.9729497380942861,0.9733,0.9731248375292447,0.9965103641999999,0.11286708322763443,0.96395,0.9667974645336553,0.9609,0.9638397111189126,0.99422783,179.26973462104797
5,0.052180477390289304,0.98123,0.9814322015246404,0.98102,0.9812260574720691,0.9982819439999999,0.10293129928708077,0.967,0.9689696726250251,0.9649,0.9669305541637438,0.9954094950000001,179.53227257728577
6,0.03929446456551552,0.98537,0.9854768048970773,0.98526,0.9853683905229575,0.999010951,0.09815193433761597,0.97005,0.9676649089642821,0.9726,0.9701261782454741,0.995570735,179.63312411308289
7,0.02969681714296341,0.98907,0.9890993459607577,0.98904,0.9890696720901627,0.9994216737999999,0.09397438591718674,0.97225,0.9746708211880591,0.9697,0.9721790565943155,0.9962376749999999,179.64201307296753
8,0.02277235033392906,0.99202,0.9916856537554463,0.99236,0.9920227122778256,0.999636298,0.09520325123667717,0.97265,0.9758381153729991,0.9693,0.9725580695329353,0.9964405099999998,179.43723464012146
9,0.017439156534671783,0.99377,0.9939181754526358,0.99362,0.9937690653598039,0.99979146,0.09073743752241134,0.9742,0.9725931831771976,0.9759,0.9742437855645403,0.99646141,179.29339456558228
10,0.013964135895967483,0.99516,0.9948433002878158,0.99548,0.9951615483045425,0.9998611791999998,0.08723313126564027,0.97565,0.9777041277493221,0.9735,0.9755975346996042,0.9967497750000001,179.44790816307068
11,0.011643469377756118,0.99588,0.9960387323943662,0.99572,0.9958793406945111,0.9999006213999999,0.08889194365143777,0.97675,0.9743309123470302,0.9793,0.9768091367014115,0.9969219500000001,179.54093837738037
12,0.009814473274946212,0.99656,0.9965997279782383,0.99652,0.9965598623944958,0.9999378608,0.09082628455162048,0.97575,0.9723021939839174,0.9794,0.9758381906042943,0.996406345,179.41333198547363
13,0.008542336386442185,0.99707,0.9972788571199904,0.99686,0.9970693845707599,0.9999499384000001,0.0839390352845192,0.9782,0.980024091547882,0.9763,0.9781585011521892,0.997143925,220.49548864364624
14,0.007471516119241715,0.99753,0.9975996639529534,0.99746,0.9975298270878962,0.9999612386000001,0.08495086598992348,0.97875,0.9787021297870213,0.9788,0.9787510624468777,0.9972381300000001,179.3128261566162
15,0.007156380002498627,0.99752,0.997400623850276,0.99764,0.9975202975642923,0.9999614619999999,0.08519339062571525,0.9789,0.9783260087894526,0.9795,0.9789126524085549,0.9972920349999999,179.405287027359
16,0.005866638799905777,0.99797,0.9979002939588457,0.99804,0.9979701420900537,0.9999775752000001,0.08674650024175644,0.97895,0.981115017579106,0.9767,0.9789025306940616,0.997285595,179.17620277404785
17,0.005387427134513855,0.99828,0.9982202135743711,0.99834,0.9982801031938083,0.999977968,0.08568424109220504,0.9787,0.9802367576243981,0.9771,0.9786658653846154,0.997436615,179.2593638896942
18,0.004373022457361222,0.99852,0.9985000599976,0.99854,0.998520029599408,0.999986705,0.08283565635681152,0.97895,0.9812116949663418,0.9766,0.9789004159775473,0.997392815,179.26009893417358
19,0.004003932036161423,0.99875,0.998759975199504,0.99874,0.998749987499875,0.9999832554,0.08099791595935822,0.98065,0.9821446484100712,0.9791,0.9806199609394561,0.9976744300000002,179.78493237495422
20,0.004040579797029495,0.99866,0.9986998959916793,0.99862,0.9986599463978559,0.9999877684,0.08513108835220337,0.98035,0.9812644023644925,0.9794,0.9803313147490116,0.9975133,179.4177963733673
