epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,epoch_time_sec
1,0.0006813974368572235,0.99978,0.9997000479923213,0.99986,0.9997800175985921,0.9999998092000001,0.0451915736079216,0.98825,0.9884942471235618,0.988,0.9882470617654414,0.99899766,210.57090878486633
2,0.0007196030771732331,0.99978,0.9996201215611005,0.99994,0.9997800351943689,0.9999998358,0.044950183284282685,0.98815,0.988296488946684,0.988,0.988148222233335,0.999003515,166.97250485420227
3,0.0006587594354152679,0.99981,0.9997200503909296,0.9999,0.9998100170984612,0.9999998182000001,0.044719242030382154,0.98815,0.988296488946684,0.988,0.988148222233335,0.9990524600000001,167.20483946800232
4,0.0006715780186653137,0.99975,0.9995801427514645,0.99992,0.9997500424927762,0.9999998036000001,0.044397718423604966,0.98825,0.988592014410087,0.9879,0.9882458860601211,0.9990548450000001,166.79683804512024
5,0.0006569161331653595,0.99977,0.999740015599064,0.9998,0.999770006899793,0.9999998003999999,0.04414994229078293,0.98845,0.9889878866753429,0.9879,0.9884436440042023,0.9991051550000001,167.12653994560242
6,0.0005030308306217193,0.99985,0.9998000199980002,0.9999,0.999850007499625,0.9999999353999999,0.044003868657350544,0.9885,0.9890869042851421,0.9879,0.9884930958575145,0.9991071300000001,166.65983390808105
7,0.0005335996210575104,0.99984,0.999760038393857,0.99992,0.999840012798976,0.9999999134,0.04374274468421936,0.9885,0.9890869042851421,0.9879,0.9884930958575145,0.999111015,167.21689987182617
8,0.0004644594168663025,0.99989,0.9998600083994961,0.99992,0.999890003299901,0.9999999498,0.0436237769305706,0.98855,0.9892839258888333,0.9878,0.9885414060545409,0.999112535,167.55329990386963
9,0.0004552598524093628,0.99989,0.99989999799996,0.99988,0.999889998899989,0.9999999296,0.043497563087940214,0.98855,0.9893819493138335,0.9877,0.9885402592203373,0.999113465,167.29837918281555
10,0.000510052102804184,0.99991,0.9999599959996,0.99986,0.999909995499775,0.9999998627999999,0.04331846399307251,0.98865,0.9893840761141712,0.9879,0.9886414811108332,0.999116165,166.90230321884155
