epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,epoch_time_sec
1,0.15555510020494462,0.9427,0.948458203330767,0.93628,0.9423297570401981,0.9861213498000001,0.08587160024642944,0.96845,0.9560899620290138,0.982,0.9688717872823245,0.99647143,323.14228653907776
2,0.06744737805128098,0.97692,0.9780865311359718,0.9757,0.976891808005767,0.9969359886,0.06137827410697937,0.9769,0.9886270491803278,0.9649,0.9766194331983805,0.9980921200000001,316.6554048061371
3,0.04422502819299698,0.98487,0.9853456387259514,0.98438,0.9848625826655061,0.9985027485999999,0.047113749647140504,0.98255,0.9808669656203288,0.9843,0.9825804841527327,0.99859545,316.84417819976807
4,0.030252223421335222,0.9895,0.9898723029502422,0.98912,0.9894960084832236,0.9993217426000001,0.05184647473096848,0.98235,0.9854080708463319,0.9792,0.9822942268144655,0.998417715,316.8132092952728
5,0.023554410313367843,0.99211,0.9927308408594829,0.99148,0.9921050261664849,0.9995236982,0.04572513554692268,0.9838,0.9859381277621535,0.9816,0.9837642814191221,0.9988037300000001,316.725280046463
6,0.01664281245112419,0.99443,0.9946377478540988,0.99422,0.9944288300543114,0.9997737988,0.05370737860202789,0.9832,0.9926590538336052,0.9736,0.9830371567043619,0.9987659550000001,316.6799943447113
7,0.013605191102027894,0.9954,0.9955982392957183,0.9952,0.9953990798159632,0.999849659,0.05332764635682106,0.98315,0.989364934670313,0.9768,0.9830423187238967,0.9988275,316.5551788806915
8,0.012322061759233475,0.99587,0.9959394315204129,0.9958,0.9958697108797616,0.9998682893999999,0.0557805883705616,0.98305,0.9894619515655082,0.9765,0.982938245508078,0.99866504,316.61263489723206
9,0.010456910413503646,0.99652,0.9967385649685861,0.9963,0.9965192342315309,0.9998910961999999,0.05632371797561646,0.98455,0.979230540994956,0.9901,0.9846352742280344,0.998734595,316.83793354034424
10,0.009062252854108811,0.99694,0.9972184423277035,0.99666,0.9969391429600288,0.9999264542,0.055365018659830095,0.9849,0.9817206437512418,0.9882,0.9849496661018639,0.998625145,316.7773494720459
11,0.00903452959060669,0.99712,0.9972393374409858,0.997,0.997119654358523,0.999887252,0.05289350609779358,0.98465,0.9869386114739275,0.9823,0.9846138425299453,0.9985414399999999,316.5027856826782
12,0.007658505412340164,0.99735,0.997419638749425,0.99728,0.9973498144870141,0.9999407126,0.04961705885529518,0.98575,0.9824212930777634,0.9892,0.9857989934725198,0.998846745,316.96914172172546
13,0.007580591613054275,0.9976,0.9976199047961919,0.99758,0.99759995199904,0.9999286463999999,0.05347268740534782,0.9861,0.9873671546019651,0.9848,0.986081906478422,0.9988877899999999,316.48359870910645
14,0.00669494384765625,0.99786,0.9978201743860491,0.9979,0.9978600855965761,0.9999355312,0.05427563573718071,0.9857,0.9813676907829534,0.9902,0.9857640617222498,0.9984720650000001,317.02161049842834
15,0.00669972891330719,0.99769,0.9978194330525937,0.99756,0.9976896996609559,0.9999464118000001,0.050405615919828416,0.98435,0.9876170341286621,0.981,0.9842973962775298,0.998854365,316.57401847839355
16,0.005711883352994919,0.99826,0.9984793309055985,0.99804,0.9982596171157655,0.9999625298,0.050243262630701065,0.98585,0.9830963508004376,0.9887,0.9858902128932542,0.9988380649999999,316.5223922729492
17,0.0055293118810653685,0.99811,0.9980402743615894,0.99818,0.9981101322907396,0.9999690266,0.05065324342250824,0.9857,0.9830913069425105,0.9884,0.9857385060337089,0.998751095,316.5179386138916
18,0.005966447089910508,0.99797,0.9980596507371327,0.99788,0.9979698172835555,0.999949954,0.0503613970220089,0.98625,0.9822473470197362,0.9904,0.9863068266693223,0.99873316,316.59161710739136
19,0.004730900555849076,0.99846,0.9984001919769627,0.99852,0.9984600923944563,0.9999676661999999,0.057297959357500074,0.98615,0.9879554351099067,0.9843,0.9861243300105195,0.99857147,317.012686252594
20,0.004848237110376358,0.99833,0.9984197155487988,0.99824,0.9983298496864718,0.9999535652000002,0.06268655885457992,0.98435,0.9932783379162847,0.9753,0.98420707401988,0.998883405,316.88151836395264
