epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,epoch_time_sec
1,0.14139099679231643,0.94358,0.9472835074416166,0.93944,0.9433454501636777,0.9876952528,0.06851274574398994,0.97395,0.9753284525122856,0.9725,0.973912172650343,0.9969741249999999,120.78367066383362
2,0.06106660535931587,0.97755,0.9787276700683681,0.97632,0.9775223524935671,0.9975839924,0.05824475020170212,0.9774,0.9683146949185796,0.9871,0.9776171139942558,0.998207205,120.03229331970215
3,0.040064467829465863,0.98501,0.98571914995894,0.98428,0.9849990493059934,0.9989448920000001,0.055109206718206405,0.9803,0.9834910408697403,0.977,0.9802347747566971,0.9981922,120.7898461818695
4,0.025579026865959167,0.99103,0.9913936312871525,0.99066,0.9910266798715525,0.999553732,0.05085964204668999,0.9839,0.984869739478958,0.9829,0.9838838838838839,0.998492535,120.12455582618713
5,0.019605661383867264,0.99271,0.9929564782391196,0.99246,0.9927081770442611,0.9997407172,0.059856964176893235,0.9799,0.9898938342180482,0.9697,0.9796928672459083,0.9984822799999999,120.57669687271118
6,0.013770026066303254,0.99522,0.9954974785880093,0.99494,0.995218661225143,0.9998570471999999,0.06445472143292427,0.9811,0.991821713351053,0.9702,0.9808917197452229,0.998834905,128.02541851997375
7,0.01253912034392357,0.99559,0.9957387216164849,0.99544,0.9955893384007601,0.9998794056,0.05525166050195694,0.9844,0.9844,0.9844,0.9844,0.99867638,151.23424100875854
8,0.010229772864580154,0.99641,0.9964993698865796,0.99632,0.9964096768709184,0.9999311144,0.05549526087641716,0.98335,0.9833983398339834,0.9833,0.9833491674583729,0.9985403350000001,121.3812325000763
9,0.00984957091331482,0.99638,0.9964395727487299,0.99632,0.9963797827869673,0.9999336001999999,0.05407239201664925,0.9841,0.9904761904761905,0.9776,0.9839959738298943,0.99887469,120.86083912849426
10,0.007823686596155167,0.99724,0.9971803383593969,0.9973,0.9972401655900646,0.999959426,0.06920037302970886,0.98165,0.9720670391061452,0.9918,0.98183438103252,0.99772406,121.20775127410889
11,0.0077011737859249115,0.99733,0.997339946798936,0.99732,0.997329973299733,0.9999471708,0.06425766961574554,0.9812,0.9899205864386073,0.9723,0.9810311774795681,0.99873735,121.06443095207214
12,0.007420712873935699,0.99738,0.99738,0.99738,0.99738,0.9999569259999999,0.0510415192425251,0.9867,0.988949166164356,0.9844,0.9866693394808058,0.998787675,120.93764567375183
13,0.007003069944381714,0.99749,0.9975397539753975,0.99744,0.9974898744937247,0.9999598484,0.05525987628698349,0.9844,0.9871279163314561,0.9816,0.9843561973525873,0.99878497,121.05776619911194
14,0.006354352579116821,0.99785,0.9977803107564941,0.99792,0.9978501504894658,0.9999602082000001,0.059413339745998384,0.9851,0.9917883211678832,0.9783,0.9849979863068868,0.99890861,120.74309635162354
15,0.005357203456163406,0.99806,0.9980799231969278,0.99804,0.998059961199224,0.9999613041999998,0.05938454189300537,0.98375,0.9847680128269366,0.9827,0.9837329195655439,0.99870199,121.03370451927185
16,0.006056298104524613,0.99791,0.9978801271923684,0.99794,0.9979100626981191,0.9999549957999998,0.06636216168999672,0.98265,0.9863952433739797,0.9788,0.9825829443356924,0.99846831,120.85963201522827
17,0.004509475506544113,0.99838,0.9984597535605697,0.9983,0.9983798703896312,0.9999853475999999,0.07008168956041336,0.9831,0.986113906218555,0.98,0.9830474470859665,0.99845612,121.02563953399658
18,0.005518482840061188,0.99813,0.9981798179817982,0.99808,0.9981299064953247,0.9999750782000001,0.05910830001831055,0.98565,0.9828974843392662,0.9885,0.9856907812733708,0.998435745,121.15586757659912
19,0.005002690550088882,0.99809,0.99809996199924,0.99808,0.998089980899809,0.9999741326000001,0.05782533016204834,0.9851,0.9833599043443603,0.9869,0.9851267718107407,0.9984479849999999,120.8707377910614
20,0.004055318982601166,0.99874,0.99874,0.99874,0.99874,0.9999853406,0.05383726857304573,0.9875,0.9880857028434121,0.9869,0.9874924954972983,0.9986202399999999,120.95650243759155
